experiment_name,model_name,f1_score,precision,recall,conf_matrix
feats_eng,"RandomForestClassifier(bootstrap=True,ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=3,max_features=0.3,max_leaf_nodes=None,max_samples=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,n_estimators=1500,n_jobs=2,oob_score=False,random_state=32,verbose=0,warm_start=False)",0.3360929557007988,0.9270833333333334,0.2052510200461238,"[[14225    91]
 [ 4480  1157]]"
feats_eng,"CatBoostClassifier(iterations=1000,silent=True,task_type=CPU,random_state=32)",0.602990834539315,0.500801282051282,0.7575757575757576,"[[18505   623]
 [  200   625]]"
feats_sel_top300,"LogisticRegression(C=0.1,class_weight=balanced,dual=False,fit_intercept=True,intercept_scaling=1,l1_ratio=None,max_iter=1000,multi_class=deprecated,n_jobs=2,penalty=l2,random_state=32,solver=lbfgs,tol=0.0001,verbose=0,warm_start=False)",0.4324849426850592,0.8918269230769231,0.2854578096947935,"[[15919   135]
 [ 2786  1113]]"
feats_sel_top300,"DecisionTreeClassifier(ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=13,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,random_state=32,splitter=best)",0.4303849303849303,0.8421474358974359,0.289053905390539,"[[16120   197]
 [ 2585  1051]]"
feats_sel_top300,"RandomForestClassifier(bootstrap=True,ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=3,max_features=0.3,max_leaf_nodes=None,max_samples=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,n_estimators=1500,n_jobs=2,oob_score=False,random_state=32,verbose=0,warm_start=False)",0.3344394748232578,0.9286858974358976,0.2039415801513285,"[[14181    89]
 [ 4524  1159]]"
feats_sel_top300,"CatBoostClassifier(iterations=1000,silent=True,task_type=CPU,random_state=32)",0.6048967834853577,0.5048076923076923,0.7544910179640718,"[[18500   618]
 [  205   630]]"
feats_sel_top200,"LogisticRegression(C=0.1,class_weight=balanced,dual=False,fit_intercept=True,intercept_scaling=1,l1_ratio=None,max_iter=1000,multi_class=deprecated,n_jobs=2,penalty=l2,random_state=32,solver=lbfgs,tol=0.0001,verbose=0,warm_start=False)",0.4271366306613606,0.9030448717948718,0.2797220153884338,"[[15803   121]
 [ 2902  1127]]"
feats_sel_top200,"DecisionTreeClassifier(ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=13,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,random_state=32,splitter=best)",0.4176786780808282,0.8405448717948718,0.2778807947019867,"[[15979   199]
 [ 2726  1049]]"
feats_sel_top200,"RandomForestClassifier(bootstrap=True,ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=3,max_features=0.3,max_leaf_nodes=None,max_samples=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,n_estimators=1500,n_jobs=2,oob_score=False,random_state=32,verbose=0,warm_start=False)",0.330833573694837,0.9190705128205128,0.2017235314808301,"[[14166   101]
 [ 4539  1147]]"
feats_sel_top200,"CatBoostClassifier(iterations=1000,silent=True,task_type=CPU,random_state=32)",0.55599603567889,0.4495192307692308,0.7285714285714285,"[[18496   687]
 [  209   561]]"
feats_sel_top100,"LogisticRegression(C=0.1,class_weight=balanced,dual=False,fit_intercept=True,intercept_scaling=1,l1_ratio=None,max_iter=1000,multi_class=deprecated,n_jobs=2,penalty=l2,random_state=32,solver=lbfgs,tol=0.0001,verbose=0,warm_start=False)",0.3779229711141678,0.8806089743589743,0.2405866900175131,"[[15236   149]
 [ 3469  1099]]"
feats_sel_top100,"DecisionTreeClassifier(ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=13,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,random_state=32,splitter=best)",0.3791298068243365,0.8413461538461539,0.2446982055464926,"[[15464   198]
 [ 3241  1050]]"
feats_sel_top100,"RandomForestClassifier(bootstrap=True,ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=3,max_features=0.3,max_leaf_nodes=None,max_samples=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,n_estimators=1500,n_jobs=2,oob_score=False,random_state=32,verbose=0,warm_start=False)",0.326039704390668,0.9014423076923076,0.1990093755528038,"[[14177   123]
 [ 4528  1125]]"
feats_sel_top100,"CatBoostClassifier(iterations=1000,silent=True,task_type=CPU,random_state=32)",0.5069551777434312,0.3942307692307692,0.70995670995671,"[[18504   756]
 [  201   492]]"
feats_sel_top60,"LogisticRegression(C=0.1,class_weight=balanced,dual=False,fit_intercept=True,intercept_scaling=1,l1_ratio=None,max_iter=1000,multi_class=deprecated,n_jobs=2,penalty=l2,random_state=32,solver=lbfgs,tol=0.0001,verbose=0,warm_start=False)",0.3550819672131147,0.8677884615384616,0.2232069249793899,"[[14936   165]
 [ 3769  1083]]"
feats_sel_top60,"DecisionTreeClassifier(ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=13,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,random_state=32,splitter=best)",0.3656741385078622,0.875801282051282,0.2310782241014799,"[[15068   155]
 [ 3637  1093]]"
feats_sel_top60,"RandomForestClassifier(bootstrap=True,ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=3,max_features=0.3,max_leaf_nodes=None,max_samples=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,n_estimators=1500,n_jobs=2,oob_score=False,random_state=32,verbose=0,warm_start=False)",0.3189072609633357,0.8886217948717948,0.1943227615209392,"[[14107   139]
 [ 4598  1109]]"
feats_sel_top60,"CatBoostClassifier(iterations=1000,silent=True,task_type=CPU,random_state=32)",0.4355179704016913,0.3301282051282051,0.639751552795031,"[[18473   836]
 [  232   412]]"
